Foyer Depense Region Type SurfaceC  
13313 1351.23547363281 1 0 3674  
8004 4001.09741210938 1 1 0  
7620 2398.63354492187 1 1 0  
7622 3859.03784179688 1 1 0  
14612 1991.76721191406 1 0 4476  
7402 3690.44677734375 1 1 0  
13218 2716.49609375 1 0 6000  
14417 981.809204101563 1 0 1873  
7717 2951.2001953125 1 1 0  
4206 2059.87670898437 1 1 0  
7312 3982.5751953125 1 1 0  
7816 2274.43310546875 1 1 0  
7823 2642.98999023437 1 1 0  
7906 2954.22265625 1 1 0  
13610 1324.17993164063 1 0 5316  
8001 3815.89013671875 1 1 0  
13609 1965.28735351563 1 0 4512  
7908 3752.296875 1 1 0  
13919 3162.98779296875 1 0 1311  
7918 4147.07861328125 1 1 0  
13914 1669.51696777344 1 0 1704  
7821 1501.17565917969 1 1 0  
11812 919.49609375 1 0 8492  
13615 2075.59252929687 1 0 5666  
15721 1948.7724609375 1 0 5010  
11911 2287.89086914062 1 0 4010  
4210 4939.40673828125 1 1 0  
15317 1894.98559570312 1 0 2760  
14820 2342.79565429687 1 0 2496  
15304 1366.77185058594 1 0 4670  
14819 9336.7666015625 1 0 0  
13306 1272.8330078125 1 0 1488  
12003 2259.17993164063 1 0 1440  
12810 1306.90673828125 1 0 4039  
7803 3342.37158203125 1 1 0  
4410 3926.1279296875 1 1 0  
14712 2423.1982421875 1 0 0  
13516 964.960571289063 1 0 4572  
13703 3288.37622070312 1 0 1090  
11714 1425.43127441406 1 0 5748  
14501 2235.14111328125 1 0 3658  
13804 1516.10485839844 1 0 2952  
14405 986.040344238281 1 0 3159  
12510 967.766784667969 1 0 1104  
7706 2161.39819335937 1 1 0  
7723 2631.98657226562 1 1 0  
15217 1462.65368652344 1 0 792  
14901 1845.26867675781 1 0 2628  
12915 4289.16796875 1 0 8280  
14218 5155.55078125 1 0 2160  
12612 1858.39672851563 1 0 1872  
14514 1534.10913085938 1 0 6156  
12006 3351.34228515625 1 0 2485  
13112 842.798461914063 1 0 1100  
15410 1635.39477539063 1 0 2910  
15622 1965.34118652344 1 0 8800  
15405 1032.39367675781 1 0 4066  
15701 937.087463378906 1 0 6691  
11806 572.19140625 1 0 6723  
14008 1301.26245117187 1 0 864  
4107 2307.24291992188 1 1 0  
14812 3069.54150390625 1 0 0  
12709 502.945098876953 1 0 3796  
4408 6300.166015625 1 1 0  
14810 1850.21789550781 1 0 0  
13321 1248.04345703125 1 0 3842  
14219 1766.51867675781 1 0 1776  
7911 3675.99169921875 1 1 0  
7411 6001.267578125 1 1 0  
15210 1788.43884277344 1 0 3156  
8005 5579.388671875 1 1 0  
13414 931.916198730469 1 0 2165  
4402 3631.88549804687 1 1 0  
7822 1266.23059082031 1 1 0  
4212 4632.49462890625 1 1 0  
12914 1739.83666992188 1 0 2400  
14204 2598.2890625 1 0 1128  
14214 3288.6787109375 1 0 2520  
11808 1680.62316894531 1 0 2590  
12801 1104.74279785156 1 0 3240  
15401 1695.43920898438 1 0 5000  
15712 889.798645019531 1 0 3540  
15416 1289.07873535156 1 0 4440  
4302 1111.21105957031 1 1 0  
4111 3879.50317382812 1 1 0  
7806 2005.4853515625 1 1 0  
12408 1640.814453125 1 0 9065  
15110 4262.45166015625 1 0 3960  
12005 1897.41552734375 1 0 1770  
15101 2751.04931640625 1 0 1848  
12305 1331.22338867188 1 0 2520  
13711 2097.42895507812 1 0 3312  
12403 2096.177734375 1 0 3315  
15107 1817.56689453125 1 0 2880  
11802 1472.62060546875 1 0 1578  
15102 1867.53979492188 1 0 1956  
11712 4355.349609375 1 0 3852  
7615 2871.46875 1 1 0  
14509 911.266723632813 1 0 4150  
13207 1417.126953125 1 0 2000  
14411 1180.58666992188 1 0 3618  
14019 753.307189941406 1 0 2995  
11807 1519.29931640625 1 0 3850  
12307 1007.45294189453 1 0 6360  
